ID,내용,링크,미디어 타입,미디어 URL,작성일,조회수,좋아요 수,답글 수,리포스트 수,인용 수
"18110827745502608","초등교사 입니다. 
아이가 일부러 부모 화나게 하는 거 같죠?

일부러 말 안 듣고,
일부러 동생 괴롭히고,
일부러 더 칭얼대고 

그런데 계속! 시선으로 보면
아이는 더 더 더 문제가 커집니다. 

장담컨데, 딱 3분 글 집중해서 읽으면 
완전히!!!! 아이 문제 행동 바꿀 수 있는 지식 드립니다.","https://www.threads.com/@dream_grow_lee/post/DZAZPmfmlAL","TEXT_POST","","2026. 5. 31. PM 2:20:08",82507,376,14,70,1
"18079369346644627","↳ 0/

먼저 이 글은 아래 뉴스레터를 요약한 글입니다. 
이 글을 읽으시면 훨씬! 이해가 잘 될 겁니다. 

https://maily.so/grow.circle/posts/w6ovpxqmok5","https://www.threads.com/@dream_grow_lee/post/DZAZQDXGrrG","TEXT_POST","","2026. 5. 31. PM 2:20:12",17051,25,0,6,2
"18046755671740294","  ↳ 1/ 

동생을 때린 아이를 보면
우리는 보통 이렇게 말합니다.

""너 왜 그래!""
""동생한테 그러지 말랬지!""
""당장 사과해!""

물론 때린 행동은 잘못입니다.

그런데 여기서 더 중요한 질문이 있습니다.

'이 아이는 이 행동으로 무엇을 얻으려 했을까?'","https://www.threads.com/@dream_grow_lee/post/DZAZQ3pGjn3","TEXT_POST","","2026. 5. 31. PM 2:20:18",15734,16,0,0,0
"18095429375231968","    ↳ 2/ 
아이의 문제 행동 뒤에는
대부분 4가지 어긋난 목표가 숨어 있습니다.

관심 끌기
힘의 오용
보복
무기력

이걸 알면
아이 행동이 완전히 다르게 보입니다.

""왜 저래?""가 아니라
""무엇이 필요해서 저렇게 하지?""로 바뀝니다.","https://www.threads.com/@dream_grow_lee/post/DZAZRjtGvi3","CAROUSEL_ALBUM","https://scontent-nrt6-1.cdninstagram.com/v/t51.82787-15/708993141_17931459627271350_2146582989522000438_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=Cg1fzob9yBgQ7kNvwFTp20d&_nc_oc=AdrDZBKYr_OcE3eQPFg2z4vauUOMCdUS6x2PdMejjwYhnNokEiVuvc-x3uSkaa5R23w&_nc_zt=23&_nc_ht=scontent-nrt6-1.cdninstagram.com&edm=AOxOPbcEAAAA&_nc_gid=mgc3UpEpCaJPi2V8Oj0m9A&_nc_tpa=Q5bMBQEtZQ-LZV0zBkgBRQ6-T2hBK_krCwnHGBGZXzn1lpvoUxe-8cvpGUMZcRwo-pH2ceM18zdHYScv&oh=00_Af-yv6_V2rKJSNDHvPKMRjdpPjdaBx2DJYWQW8NjYBc6gw&oe=6A32BC6C
https://scontent-nrt6-1.cdninstagram.com/v/t51.82787-15/712723427_17931459642271350_9147504208130960520_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=wm092Mi5zmIQ7kNvwH-aDTx&_nc_oc=Ado5Pqsy0v5_YXpwcfD-NgzKZ5o3WOyK5OOVY73S1aYQSx_bUAuNDrOLX38Z7LY4420&_nc_zt=23&_nc_ht=scontent-nrt6-1.cdninstagram.com&edm=AOxOPbcEAAAA&_nc_gid=mgc3UpEpCaJPi2V8Oj0m9A&_nc_tpa=Q5bMBQE9YOTJAAmt_m9y-EUr_kizA3cW5Y7poCCMdJ7H2K05IK6LdgRF93gCxEG1tmwNkpE4tE12aduw&oh=00_Af9R8PtkQfTmSDUaWO1ZfZ8gs4IGqiqgleExKXWNyXlVIQ&oe=6A32B3B5
https://scontent-nrt1-2.cdninstagram.com/v/t51.82787-15/711985544_17931459690271350_7443175046547706565_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=UbCE8XFA4mIQ7kNvwGBXsNB&_nc_oc=AdqqcLOUXB82JkawoczWbGen2UeOjvH78J-YZ7aeRfuKRFNg7-aV3cY7BJtwIt38gQQ&_nc_zt=23&_nc_ht=scontent-nrt1-2.cdninstagram.com&edm=AOxOPbcEAAAA&_nc_gid=mgc3UpEpCaJPi2V8Oj0m9A&_nc_tpa=Q5bMBQEyFhAo-_-KeM_h-8hIqsxomxZBcwfBwFbc7v3FkeQig2OS3h_OXEZdddoJvtNbGnNL7RXu1Tvp&oh=00_Af8GkXAJIbLLiJsZxrs4sEijR4WTX9VV4CkPlHylm3zNNg&oe=6A32AF7C
https://scontent-nrt1-2.cdninstagram.com/v/t51.82787-15/714064005_17931459681271350_7939533279111674751_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0FST1VTRUxfSVRFTS5iZXN0X2ltYWdlX3VybGdlbi5DMyJ9&_nc_ohc=o54LCGozMUgQ7kNvwG-bFvU&_nc_oc=Adqaz5KDhznEZj7YOFvZX9wV5dy3KUkmnqvSXRiUGHtaQPNvkkpwunulriedQpYnQa8&_nc_zt=23&_nc_ht=scontent-nrt1-2.cdninstagram.com&edm=AOxOPbcEAAAA&_nc_gid=mgc3UpEpCaJPi2V8Oj0m9A&_nc_tpa=Q5bMBQF6_KOPY4drhUSKGm0H4dPxvkgNa8Saws3pgiWVtIcwkFGsuEEHLR8_TuUOQvplU664B_bv_AeY&oh=00_Af-699e1azOWldqjn_Xp4pVDJ-KQmda3Nqfwu83bgri9yQ&oe=6A32D598","2026. 5. 31. PM 2:20:24",15460,39,0,4,0
"18092273513524508","      ↳ 3/ 

첫 번째, 관심 끌기

아이 마음속 말은 이겁니다.

""나 좀 봐 주세요.""

자꾸 말을 끊고,
일부러 물을 쏟고,
바쁠 때 더 매달립니다.

이때 부모 마음에는 짜증이 올라옵니다.

'또 나를 귀찮게 하네.'

이 감정이 단서입니다.

관심 끌기 아이에게 필요한 건
무조건 무시가 아닙니다.

잘못된 관심은 줄이고,
건강한 관심은 늘려야 합니다.

""엄마가 지금 너를 못 보고 있었구나.""
""잠깐만, 네 눈 보고 이야기할게.""
""엄마랑 같이 있고 싶었구나.""

딱 3분이라도
눈 보고, 손 잡고, 연결해 주세요.","https://www.threads.com/@dream_grow_lee/post/DZAZSdyGjbs","TEXT_POST","","2026. 5. 31. PM 2:20:31",13218,32,0,1,0
"18266972914293104","        ↳ 4/ 

두 번째, 힘의 오용

아이 마음속 말은 이겁니다.

""나도 결정할 수 있는 사람이에요.""

숙제하라면 ""싫어.""
씻으라면 침대에 엎드림.
학원 가자면 신발장 앞에서 버팀.

이때 부모 마음에는 화가 올라옵니다.

'내가 여기서 지면 안 되는데.'

이 감정이 단서입니다.

힘의 오용 아이에게 필요한 건
힘으로 누르는 것이 아닙니다.

기준은 부모가 잡고,
방법은 아이가 선택하게 해야 합니다.

""숙제는 해야 해. 순서는 네가 정해도 돼.""
""지금 할래, 10분 쉬고 할래?""
""씻는 건 해야 해. 양치 먼저 할래, 샤워 먼저 할래?""

한계 안의 선택권이 핵심입니다.","https://www.threads.com/@dream_grow_lee/post/DZAZS7vGuTx","TEXT_POST","","2026. 5. 31. PM 2:20:35",10766,27,0,1,0
"18164556544439487","          ↳ 5/

세 번째, 보복

아이 마음속 말은 이겁니다.

""나도 아팠으니 당신도 아파 보세요.""

""엄마 싫어.""
""아빠랑 안 살 거야.""
""동생 없어졌으면 좋겠어.""

이때 부모 마음은 상처받습니다.

'어떻게 나한테 이런 말을 하지?'

이 상처가 단서입니다.

보복 행동 앞에서
부모가 똑같이 상처를 돌려주면
악순환이 더 깊어집니다.

먼저 아이의 상처를 봐야 합니다.

""네가 많이 속상했구나.""
""엄마는 그래도 너를 사랑해.""
""네가 진짜 하고 싶었던 말은 뭐야?""

차분해진 뒤에는 기준을 세웁니다.

""상처 주는 말은 안 돼. 마음을 다시 말해보자.""","https://www.threads.com/@dream_grow_lee/post/DZAZTbPGv9K","TEXT_POST","","2026. 5. 31. PM 2:20:39",8827,27,0,1,0
"18327851638254701","          ↳ 6/ 

네 번째, 무기력

아이 마음속 말은 이겁니다.

""어차피 나는 못할 거예요. 기대하지 마세요.""

""나 못해.""
""어차피 틀릴 거야.""
""학교 가기 싫어.""
""수학은 보기만 해도 싫어.""

이때 부모 마음은 답답하고 무력해집니다.

'이제 뭘 해도 안 되겠네.'

이 감정이 단서입니다.

무기력한 아이에게
""넌 왜 이렇게 의지가 없어?""는 독입니다.

이 아이에게 필요한 건 큰 응원이 아니라
작은 성공입니다.

""문제집 다 풀자""가 아니라
""한 문제만 같이 보자.""

""책 한 권 읽자""가 아니라
""한 문장만 같이 읽자.""

스스로 '이건 할 수 있겠다'고 느끼게 해야 합니다.","https://www.threads.com/@dream_grow_lee/post/DZAZT5DmvxH","TEXT_POST","","2026. 5. 31. PM 2:20:43",7167,27,0,0,0
"18081162497544209","나와 아내는 27, 28살에 결혼했다. 결혼하자 마자 아이를 낳았다.
아내는 ""아이를 낳자마자 내 인생이 사라졌다."" 라고 말했다. 

우리의 시간은 한순간에 바뀌었다. 

하루 종일 아이 밥 챙기고
씻기고 재우고 달래고
또 치우고

정작 나는 없어진 것 같았다. 
그리고 어느 순간 아이는 훌쩍 자랐다.

아이는 아장 아장 걷던 게 엊그제 같았는데 
초등학생이 되었고, 

초등학생이 되니 친구들처럼 나와 놀기 시작했다.
놀리기도 하고 장난도 치고
아이와 놀이터에서 깔깔거리면서 놀던 
어느 날 문득 깨달았다.","https://www.threads.com/@dream_grow_lee/post/DY9uw46Dv0-","TEXT_POST","","2026. 5. 30. PM 1:30:27",101428,542,46,75,1
"18120448795673484","↳ 1/ 
'나는 지금 아이의 시간을 사는 게 아니라,
잊고 있던 내 어린 시절을 다시 지내고 있구나. 
바로 아이덕분에..'

아이 태어나서 
부모가 되면 내 삶이 끝나는 줄 알았던 떄가 있었는데,

이 아이와 놀다보니 
옛날 옛적에 묻어둔 
내 마음이 다시 살아났다.

""아이는 내 시간을 빼앗은 존재가 아니었다.""","https://www.threads.com/@dream_grow_lee/post/DY9uxmQjmZW","TEXT_POST","","2026. 5. 30. PM 1:30:33",35648,203,0,4,0
